,,,,,,,,,,,,,,,,,,,,,,
,,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2
gs,4,-4,-4.00750155854815,-4.03002473845704,-4.06762342464083,-4.12038117987381,-4.18839931842518,-4.271776184982,-4.37057604893285,-4.48478860317619,-4.61428380943957,-4.75877048314363,-4.9177686768726,-5.09060407512125,-5.27642731893399,-5.47425449997222,-5.68301994865672,-5.90163085179636,-6.12901509698035,-6.36415744412132,-6.60612282763145,-6.85406817781616
1st,4,-2,-2.16713998777237,-2.34458327564162,-2.53175796209395,-2.72807257122824,-2.93292225312707,-3.1456970292332,-3.3657910565478,-3.59261181664339,-3.82558832521268,-4.06417777247591,-4.30787033224408,-4.55619214711967,-4.80870668021233,-5.06501472122537,-5.32475336444298,-5.58759426044694,-5.85324140262714,-6.12142865898694,-6.39191720925585,-6.66449300233001
2nd,4,-2,-2.0637894838885,-2.13122407714644,-2.20185769158308,-2.27530011506701,-2.3512117716146,-2.42929805704435,-2.509303761635,-2.59100786444454,-2.67421883470119,-2.75877048314363,-2.84451835250193,-2.93133660791195,-3.01911537537799,-3.1077584730266,-3.19718148169791,-3.28731010583133,-3.37807878108262,-3.46942949077914,-3.56131075870919,-3.6536767906239
gs,5,-5,-5.01000312496918,-5.04004999188733,-5.09025290790488,-5.16079771143433,-5.25193864886717,-5.36398392458014,-5.49726350045586,-5.65206981676747,-5.82856668465816,-6.02667418333227,-6.24595538663467,-6.48554365430472,-6.74414383516239,-7.0201143672141,-7.31160498383106,-7.61670751213842,-7.93358275115093,-8.26054521344488,-8.59610557771871,-8.93898068801087
1st,5,-3,-3.18144717172711,-3.3790033453434,-3.59207654496528,-3.8200263345361,-4.0621556250702,-4.31770846590899,-4.58587479364216,-4.86580182907391,-5.15661054795273,-5.45741483023913,-5.76734072165099,-6.08554365430472,-6.4112222249238,-6.74362794038766,-7.08207100876349,-7.42592269006541,-7.77461492845817,-8.12763802062196,-8.4845370004323,-8.84490729528371
2nd,5,-3,-3.10484538555119,-3.21877731834444,-3.34092516883542,-3.47047169001929,-3.60665859697794,-3.74878983831886,-3.89623253271072,-4.04841585961394,-4.20482835872446,-4.36501413132472,-4.52856839348972,-4.69513274786753,-4.8643904474689,-5.03606183894596,-5.20990010201908,-5.38568734776999,-5.56323110000381,-5.74236115802695,-5.9229268230119,-6.10479446095138
gs,6,-6,-6.01250469139077,-6.05007524585566,-6.11288242074268,-6.2012147330102,-6.31548213824648,-6.4562145145511,-6.62404283026204,-6.81964129882418,-7.0436025870065,-7.29622981055876,-7.57727330528765,-7.88570523577575,-8.21965416696969,-8.57655947444572,-8.95348481275251,-9.34745633429377,-9.75571632968498,-10.1758572914909,-10.6058577553187,-11.0440591416004
1st,6,-4,-4.1912659256837,-4.40433920682309,-4.63869247934722,-4.89374660395275,-5.1688429015861,-5.46321884690865,-5.77599172840641,-6.10615470206589,-6.45258778309142,-6.81408308953746,-7.18938035330707,-7.57720670253397,-7.97631462893706,-8.38551356362816,-8.80369270691829,-9.22983482087881,-9.66302210452215,-10.1024359456186,-10.5473524445324,-10.9971353704901
2nd,6,-4,-4.13264494448802,-4.28043513616998,-4.44224723446304,-4.61696472221798,-4.80348994615982,-5.00075803147517,-5.20775054249581,-5.42350715844813,-5.64713429142436,-5.87781026238861,-6.11478720359724,-6.35739020269777,-6.60501435410427,-6.85712038747597,-7.11322946049043,-7.37291758296078,-7.63581001493334,-7.90157587101003,-8.16992307417879,-8.4405937356753
gs,7,-7,-7.01500625781235,-7.06010049983973,-7.13551193551887,-7.24163181128445,-7.37902637179935,-7.54845090455342,-7.75085321689887,-7.98733690858816,-8.25902759138598,-8.56677223350563,-8.91066117842326,-9.28953040520956,-9.70075492186382,-10.1405373984762,-10.6045487822614,-11.0885674840772,-11.5888775619802,-12.1024075363734,-12.6267048135282,-13.1598408788597
1st,7,-5,-5.19860495161138,-5.42458427313822,-5.67751153063608,-5.95692776981232,-6.26229735792428,-6.59295953805226,-6.9480810052734,-7.3266187971837,-7.72730455401359,-8.14865838043502,-8.58903312238787,-9.04668106410572,-9.51982928590279,-10.0067496417492,-10.5058135850331,-11.0155279643536,-11.5345527934857,-12.0617047328374,-12.595950782048,-13.1363962205774
2nd,7,-5,-5.15247668944818,-5.32627288323141,-5.52016912822804,-5.73289926275367,-5.96315468495278,-6.20959775745957,-6.47088229081132,-6.74567788370459,-7.03269451467951,-7.33070425600583,-7.63855804031149,-7.95519663055392,-8.27965597311557,-8.61106777978091,-8.9486564811516,-9.29173371103723,-9.63969133282073,-9.99199380133213,-10.3481704314633,-10.7078079514574
gs,8,-8,-8.01750782423393,-8.0701257538243,-8.15814145042929,-8.28204889650133,-8.44257074660408,-8.64068886130462,-8.87767482199619,-9.15508951344322,-9.47466940983782,-9.83795144745942,-10.2455223303024,-10.6960956518084,-11.1860657323676,-11.7100454307283,-12.2620502576129,-12.8365371089925,-13.4289007111258,-14.0355296888009,-14.6536600364473,-15.2811851071802
1st,8,-6,-6.20446669124307,-6.44176205614393,-6.711573065968,-7.01358901448798,-7.34744717666207,-7.71266466528781,-8.10855827650641,-8.53416224520605,-8.98816342342014,-9.46887800960622,-9.97428677155052,-10.5021269996911,-11.0500192709213,-11.6155976440425,-12.1966169266645,-12.7910240461277,-13.3969935257627,-14.0129346861464,-14.6374803148903,-15.269465328765
2nd,8,-6,-6.16730631100724,-6.36203555729116,-6.58298019998437,-6.82884679344585,-7.09824086239303,-7.389665650226,-7.70153616205796,-8.03220719517865,-8.38001114109936,-8.74329948717109,-9.12048184999526,-9.51005786052181,-9.91063948495301,-10.3209635254954,-10.7398955555854,-11.1664272797115,-11.5996694217595,-12.0388419857818,-12.4832633183965,-12.9323389769932
gs,9,-8.99999999999999,-9.02000939065552,-9.08015100780888,-9.18077096534938,-9.32246598260294,-9.50611514935814,-9.73292726027664,-10.0045006748028,-10.3228696581827,-10.6904388638552,-11.109565585441,-11.5814896529039,-12.1048011892869,-12.6746387519339,-13.2836661478731,-13.9240646446916,-14.5890073526854,-15.2731361611745,-15.97243486061,-16.6839240498779,-17.4053755348033
1st,9,-7.00000000000001,-7.20939515410502,-7.45698445404999,-7.74256980101498,-8.0659999619206,-8.42711231088928,-8.82565216305611,-9.26116444089139,-9.73286188293693,-10.2394923712702,-10.7792482035517,-11.3497643447142,-11.948226492901,-12.5715637689588,-13.2166672252967,-13.880576080483,-14.5606004230275,-15.2543787107183,-15.9598855965994,-16.6754095237897,-17.3995160145076
2nd,9,-7,-7.17886267073256,-7.39112429708864,-7.63565539380169,-7.91122259694377,-8.21644884651177,-8.54978671477455,-8.90951146929998,-9.29373835507131,-9.70046370743698,-10.1276236368778,-10.5731598666677,-11.0350816848615,-11.5115157034452,-12.0007394583748,-12.5011989073808,-13.0115124841516,-13.5304654106659,-14.0569978827928,-14.5901900767206,-15.1292460963836
gs,10,-9.99999999999999,-10.0225109570771,-10.0901762617935,-10.2034004802702,-10.3628830688207,-10.5696595578156,-10.8251657881964,-11.131328193205,-11.4906636286844,-11.9062866592744,-12.3814899996548,-12.9183216310527,-13.5152296047493,-14.165780118631,-14.8603541128577,-15.5892233228886,-16.3443989925544,-17.1199252087524,-17.9114909120637,-18.7159602747469,-19.5310079158544
1st,10,-8.00000000000001,-8.21370572570284,-8.47090269264761,-8.77150456882557,-9.11552206197251,-9.50300596145683,-9.93396148208025,-10.4082197337803,-10.9252587056705,-11.4839900667732,-12.0825696253091,-12.7183216310527,-13.3878452888208,-14.0872883401348,-14.8126894408465,-15.560276167404,-16.3266554689472,-17.1088940820943,-17.9045197856002,-18.7114791304806,-19.5280782080977
2nd,10,-8.00000000000001,-8.18819723717167,-8.41563595764088,-8.68130190627446,-8.98407960565963,-9.32268792732403,-9.69562257377073,-10.1011163376582,-10.5371295445123,-11.0013792365033,-11.4914062638295,-12.0046684087707,-12.5386407416369,-13.09090485862,-13.6592150795488,-14.2415379126342,-14.8360675029667,-15.4412230023627,-16.0556343153932,-16.6781216630156,-17.3076728843498
gs,11,-11,-11.0250125234987,-11.100201515778,-11.226029995191,-11.403300155054,-11.6332039674649,-11.9174043546694,-12.2581563825449,-12.6584647486938,-13.1221841416081,-13.6536435435869,-14.2558508999558,-14.9270743215355,-15.6589595909097,-16.4393239467356,-17.2565549754965,-18.1016680329781,-18.968247243761,-19.8517593747643,-20.7489388849878,-21.6573665476824
1st,11,-9.00000000000001,-9.21759125658338,-9.48391835116251,-9.79900182524253,-10.1630124593531,-10.5762195869204,-11.0389072019246,-11.5512344889772,-12.1130168451951,-12.7234263448873,-13.3806738901282,-14.0818150029179,-14.822827918416,-15.5989836296036,-16.4053563484438,-17.2372719862008,-18.0905813042229,-18.9617589565529,-19.8478866589878,-20.7465804182904,-21.6559017011384
2nd,11,-9.00000000000001,-9.19597514744708,-9.43691268253338,-9.72193238501173,-10.0500726689116,-10.4202049589186,-10.8309447333581,-11.2805715624523,-11.7669779232673,-12.2876681549568,-12.8398194913764,-13.420398156415,-14.0263049194353,-14.6545172699768,-15.302202187842,-15.9667878509772,-16.6459958656033,-17.3378430811888,-18.0406238623052,-18.7528821282176,-19.4733797626848
gs,12,-12,-12.0275140899203,-12.1102267697626,-12.2486595101119,-12.4437172412895,-12.6967483773679,-13.0096429329001,-13.384984847979,-13.8262696538919,-14.3381139788203,-14.9259711099087,-15.5939565487124,-16.3401003781529,-17.1537609181684,-18.0199829803567,-18.9253764160005,-19.86013383763,-20.8174831449021,-21.7927074119455,-22.7824164303589,-23.7840897458776
1st,12,-10,-10.2211749573342,-10.4962898074533,-10.8254667047807,-11.2090326626127,-11.647476007935,-12.1413698378858,-12.6912307824227,-13.2972704039219,-13.9590100270786,-14.6748090317914,-15.4415016573724,-16.2544102148072,-17.1078281104371,-17.9957523572328,-18.9125260857176,-19.8532054405631,-20.8136666435537,-21.790555928346,-22.7811751369904,-23.7833573236206
2nd,12,-10,-10.2026321298866,-10.4558426676618,-10.7588931071439,-11.1109966804494,-11.5112165237135,-11.9583481637834,-12.4507964552787,-12.9864710909635,-13.562736145678,-14.1764458515658,-14.8240741666946,-15.5019101782246,-16.2062679991467,-16.9336627523739,-17.6809266745363,-18.4452639265305,-19.2242576378266,-20.0158467544865,-20.8182877062127,-21.6301112143555
