 (-2.000000000000000000e+00+0.000000000000000000e+00j), (-1.902181070226193782e+01+8.253229529389541853e-18j), (-1.883291400778217550e+01+4.610814718370248487e-17j), (-1.788938476926274745e+01-5.184465625091924000e-17j)
 (-1.800000000000000044e+00+0.000000000000000000e+00j), (-1.788868288752503588e+01-3.517280039487929112e-17j), (-1.764664575724390971e+01-2.771379229825607922e-16j), (-1.681036301367934271e+01+8.927958198761060377e-17j)
 (-1.600000000000000089e+00+0.000000000000000000e+00j), (-1.680157212817159262e+01-8.570234820335549627e-16j), (-1.650234548417634528e+01-4.153386597717957584e-16j), (-1.576047058443272064e+01-8.181661107333084828e-16j)
 (-1.399999999999999911e+00+0.000000000000000000e+00j), (-1.576149865279459128e+01+2.252354973954137183e-19j), (-1.540627545863763714e+01+4.507242577389869672e-17j), (-1.474478651329749468e+01-7.409432670402198852e-17j)
 (-1.199999999999999956e+00+0.000000000000000000e+00j), (-1.476869219437065794e+01+1.065609596338483617e-16j), (-1.436499900082529102e+01+3.795249674705847525e-16j), (-1.376958511205838853e+01+2.522778315519392974e-16j)
 (-1.000000000000000000e+00+0.000000000000000000e+00j), (-1.382335028699546875e+01+3.226902346621814409e-16j), (-1.338492085784410790e+01+3.510476932320903095e-16j), (-1.284183574213455259e+01+5.459258044499294051e-16j)
 (-8.000000000000000444e-01+0.000000000000000000e+00j), (-1.292576197707476915e+01-2.008740295102606668e-17j), (-1.247010169827145809e+01+1.440576530742797902e-16j), (-1.196851706842300089e+01+1.566780434778979822e-16j)
 (-5.999999999999999778e-01+0.000000000000000000e+00j), (-1.207668744367843772e+01-2.729014196851754713e-16j), (-1.162221819678831913e+01+1.003355586702924887e-16j), (-1.115541676604803989e+01+4.143099094755623492e-17j)
 (-4.000000000000000222e-01+0.000000000000000000e+00j), (-1.127746203590088214e+01+1.425497635893169835e-16j), (-1.084023973726388235e+01-1.647661497902257296e-16j), (-1.040619245067833099e+01+8.251438055607798577e-16j)
 (-2.000000000000000111e-01+0.000000000000000000e+00j), (-1.053021648096618357e+01+3.518637094290790503e-17j), (-1.012263311824626655e+01+2.431281848445107823e-16j), (-9.722626502640871138e+00+2.347752983640266286e-17j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.837951447159282381e+00+3.831644850691380171e-16j), (-9.468734813142328122e+00-1.959117607828586016e-17j), (-9.106088753157717264e+00+1.125870534928791294e-16j)
 (2.000000000000000111e-01+0.000000000000000000e+00j), (-9.205052842976249039e+00+1.183502229618188951e-16j), (-8.880759599617389810e+00+5.102651429643531047e-16j), (-8.562936170970687044e+00+3.047051473492595882e-17j)
 (4.000000000000000222e-01+0.000000000000000000e+00j), (-8.637882196188893857e+00+2.439623039393528504e-16j), (-8.364226980664906108e+00-3.039316042295621991e-16j), (-8.095490835969293641e+00+1.367104484977285193e-16j)
 (5.000000000000000000e-01+0.000000000000000000e+00j), (-8.381879884239037182e+00-2.798732532749330049e-17j), (-8.135897215958394213e+00+3.842116752658082395e-16j), (-7.894227889304634260e+00+6.976828375779637256e-17j)
 (5.999999999999999778e-01+0.000000000000000000e+00j), (-8.146569384302098982e+00+4.223251499562914724e-16j), (-7.930296672892369614e+00-7.458837550234758276e-16j), (-7.717817842095333170e+00-2.576223339428475078e-16j)
 (8.000000000000000444e-01+0.000000000000000000e+00j), (-7.749502441818000520e+00+1.508522113066684859e-16j), (-7.602173101588212134e+00+2.575363443862371337e-16j), (-7.457539998313329477e+00-1.285722283846479758e-16j)
 (1.000000000000000000e+00+0.000000000000000000e+00j), (-7.500000000000017764e+00-5.802282885372001125e-17j), (-7.461570560803144403e+00+5.157870224331450138e-17j), (-7.420856072570092721e+00-4.911252432552841860e-17j)
 (1.100000000000000089e+00+0.000000000000000000e+00j), (-7.793284661170164718e+00+2.859266802024368445e-17j), (-7.616202103782486965e+00-2.990187351514803314e-17j), (-7.792859902495854030e+00+1.761739275798046885e-16j)
 (1.300000000000000044e+00+0.000000000000000000e+00j), (-8.919355970269482015e+00-4.307589581934922812e-17j), (-8.919356037519861502e+00+1.692923589990792181e-17j), (-8.396569698840210094e+00-5.740422809575025435e-17j)
 (1.399999999999999911e+00+0.000000000000000000e+00j), (-9.520207803652146694e+00-2.918159050877410660e-17j), (-8.839303084213586459e+00-3.824743846958239913e-16j), (-9.520207806141486984e+00-3.396078701038878529e-16j)
 (1.600000000000000089e+00+0.000000000000000000e+00j), (-1.075100066542722210e+01+7.597235846164757394e-16j), (-1.075100066550389677e+01+1.535845191956199427e-17j), (-9.777255168931196394e+00+5.593170308956958714e-18j)
 (1.800000000000000044e+00+0.000000000000000000e+00j), (-1.200333707604667133e+01+5.937244927117647713e-16j), (-1.200333707604807465e+01+2.490192603816790946e-16j), (-1.050776111676417912e+01+4.078557490296595343e-16j)
 (2.000000000000000000e+00+0.000000000000000000e+00j), (-1.326794919730845734e+01-5.102365036629442909e-16j), (-1.326794919437564779e+01+4.440892081957013911e-16j), (-1.176798794148269067e+01+2.043143822370686771e-16j)
