#J,E0,E1,E2
-2,-270.526,-270.526,-268.525
-1.9,-258.73,-258.73,-256.928
-1.8,-247.041,-247.041,-245.439
-1.7,-235.48,-235.48,-234.079
-1.6,-224.076,-224.076,-222.874
-1.5,-212.862,-212.862,-211.861
-1.4,-201.89,-201.89,-201.088
-1.3,-191.228,-191.228,-190.625
-1.2,-180.98,-180.98,-180.576
-1.1,-171.317,-171.317,-171.109
-1,-162.612,-162.588,-162.539
-0.9,-155.394,-155.189,-155.176
-0.8,-149.292,-148.889,-148.884
-0.7,-144.097,-143.496,-143.472
-0.6,-139.709,-138.907,-138.904
-0.5,-136.068,-135.067,-135.061
-0.4,-133.132,-131.931,-131.927
-0.3,-130.874,-129.473,-129.471
-0.2,-129.273,-127.672,-127.671
-0.1,-128.318,-126.517,-126.517
6.38378e-16,-128,-126,-126
0.1,-128.318,-126.517,-126.516
0.2,-129.273,-127.672,-127.671
0.3,-130.874,-129.473,-129.465
0.4,-133.132,-131.931,-131.929
0.5,-136.068,-135.067,-135.062
0.6,-139.709,-138.908,-138.896
0.7,-144.097,-143.496,-143.476
0.8,-149.292,-148.89,-148.881
0.9,-155.394,-155.189,-155.171
1,-162.612,-162.588,-162.539
1.1,-171.317,-171.317,-171.109
1.2,-180.98,-180.98,-180.576
1.3,-191.228,-191.228,-190.625
1.4,-201.89,-201.89,-201.088
1.5,-212.862,-212.862,-211.861
1.6,-224.076,-224.076,-222.874
1.7,-235.48,-235.48,-234.079
1.8,-247.041,-247.041,-245.439
1.9,-258.73,-258.73,-256.928
2,-270.526,-270.526,-268.525
