#J,E0,E1,E2
-2,-6.85407,-6.66449,-3.65368
-1.9,-6.60612,-6.39192,-3.56131
-1.8,-6.36416,-6.12143,-3.46943
-1.7,-6.12901,-5.85324,-3.37808
-1.6,-5.90163,-5.58759,-3.28731
-1.5,-5.68302,-5.32475,-3.19718
-1.4,-5.47425,-5.06501,-3.10776
-1.3,-5.27643,-4.80871,-3.01912
-1.2,-5.0906,-4.55619,-2.93134
-1.1,-4.91777,-4.30787,-2.84452
-1,-4.75877,-4.06418,-2.75877
-0.9,-4.61428,-3.82559,-2.67422
-0.8,-4.48479,-3.59261,-2.59101
-0.7,-4.37058,-3.36579,-2.5093
-0.6,-4.27178,-3.1457,-2.4293
-0.5,-4.1884,-2.93292,-2.35121
-0.4,-4.12038,-2.72807,-2.2753
-0.3,-4.06762,-2.53176,-2.20186
-0.2,-4.03002,-2.34458,-2.13122
-0.1,-4.0075,-2.16714,-2.06379
6.38378e-16,-4,-2,-2
0.1,-4.0075,-2.16714,-2.06379
0.2,-4.03002,-2.34458,-2.13122
0.3,-4.06762,-2.53176,-2.20186
0.4,-4.12038,-2.72807,-2.2753
0.5,-4.1884,-2.93292,-2.35121
0.6,-4.27178,-3.1457,-2.4293
0.7,-4.37058,-3.36579,-2.5093
0.8,-4.48479,-3.59261,-2.59101
0.9,-4.61428,-3.82559,-2.67422
1,-4.75877,-4.06418,-2.75877
1.1,-4.91777,-4.30787,-2.84452
1.2,-5.0906,-4.55619,-2.93134
1.3,-5.27643,-4.80871,-3.01912
1.4,-5.47425,-5.06501,-3.10776
1.5,-5.68302,-5.32475,-3.19718
1.6,-5.90163,-5.58759,-3.28731
1.7,-6.12901,-5.85324,-3.37808
1.8,-6.36416,-6.12143,-3.46943
1.9,-6.60612,-6.39192,-3.56131
2,-6.85407,-6.66449,-3.65368
