#J,E0,E1,E2
-2,-15.2451,-15.2452,-13.1947,-13.1943,-13.1932
-1.9,-14.6103,-14.6103,-12.6687,-12.6652,-12.6687
-1.8,-13.9827,-13.9827,-12.1547,-12.1547,-12.1474
-1.7,-13.3636,-13.3636,-11.6566,-11.6565,-11.6417
-1.6,-12.7546,-12.7545,-11.1797,-11.1798,-11.1502
-1.5,-12.1577,-12.1577,-10.7298,-10.729,-10.6753
-1.4,-11.5758,-11.5755,-10.3079,-10.3062,-10.219
-1.3,-11.0124,-11.0114,-9.91203,-9.90934,-9.78193
-1.2,-10.4728,-10.4698,-9.53964,-9.53677,-9.36502
-1.1,-9.96492,-9.95632,-9.18848,-9.188,-8.96828
-1,-9.50121,-9.47795,-8.86201,-8.85551,-8.5945
-0.9,-9.10111,-9.04184,-8.56263,-8.52648,-8.26316
-0.8,-8.7833,-8.65371,-8.28991,-8.18877,-7.99008
-0.7,-8.54684,-8.31548,-8.04428,-7.84401,-7.77467
-0.6,-8.3733,-8.02474,-7.82537,-7.59986,-7.50737
-0.5,-8.24494,-7.77639,-7.6321,-7.45301,-7.27277
-0.4,-8.15016,-7.56474,-7.46303,-7.32783,-7.1847
-0.3,-8.08184,-7.38475,-7.31659,-7.2212,-7.11555
-0.2,-8.03559,-7.23244,-7.19132,-7.1315,-7.06258
-0.1,-8.00879,-7.10486,-7.08605,-7.05788,-7.02429
6.38378e-16,-8,-7,-7,-7,-7
0.1,-8.00879,-7.10486,-7.08605,-7.05788,-7.02429
0.2,-8.03559,-7.23244,-7.19132,-7.1315,-7.06258
0.3,-8.08184,-7.38475,-7.31659,-7.2212,-7.11555
0.4,-8.15016,-7.56474,-7.46303,-7.32783,-7.1847
0.5,-8.24494,-7.77639,-7.6321,-7.45301,-7.27277
0.6,-8.3733,-8.02474,-7.82537,-7.59986,-7.50737
0.7,-8.54684,-8.31548,-8.04428,-7.84401,-7.77467
0.8,-8.7833,-8.65371,-8.28991,-8.18877,-7.99008
0.9,-9.10111,-9.04184,-8.56263,-8.52648,-8.26316
1,-9.50121,-9.47795,-8.86194,-8.85558,-8.5943
1.1,-9.96492,-9.95632,-9.1894,-9.1871,-8.96828
1.2,-10.4728,-10.4698,-9.53965,-9.53675,-9.36513
1.3,-11.0125,-11.0113,-9.91203,-9.90934,-9.78187
1.4,-11.5758,-11.5755,-10.3079,-10.3062,-10.2191
1.5,-12.1577,-12.1577,-10.7298,-10.729,-10.675
1.6,-12.7546,-12.7545,-11.1799,-11.1797,-11.1502
1.7,-13.3636,-13.3636,-11.6566,-11.6418,-11.6564
1.8,-13.9827,-13.9827,-12.1547,-12.1547,-12.1474
1.9,-14.6103,-14.6103,-12.6687,-12.6687,-12.6652
2,-15.2452,-15.2452,-13.1944,-13.1944,-13.1931
